Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,Index of institutional trust,Gini coefficient of income
Maldives,South Asia,5.1979999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825,8.88,30.6,0.7120000000000001,8.738,0.327,37.343
Azerbaijan,Commonwealth of Independent States,5.171,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506,26.048000000000002,32.4,1.7519999999999998,8.81,0.35200000000000004,26.6
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026000000000000002,0.848,1.6880000000000002,18.8,0.919,9.276,0.281,46.64
Senegal,Sub-Saharan Africa,5.132000000000001,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,2.449,18.7,1.062,9.39,0.355,40.29
Albania,Central and Eastern Europe,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999,41.038000000000004,38.0,3.0580000000000003,9.036,0.15,28.96
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905,120.141,39.1,2.875,9.022,0.105,32.4
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848,1.078,21.1,0.9520000000000001,9.342,0.305,43.52
Niger,Sub-Saharan Africa,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,0.43,15.1,1.126,9.29,0.484,34.28
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,5.131,17.5,1.044,9.392999999999999,0.489,35.92
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,0.363,18.8,0.971,9.318999999999999,0.39799999999999996,47.76
Laos,Southeast Asia,5.03,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999,0.0,24.4,0.773,8.184,0.708,36.39
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682,4.59,27.5,0.8240000000000001,8.349,0.5770000000000001,43.973
Guinea,Sub-Saharan Africa,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,0.617,19.0,0.97,9.408999999999999,0.349,33.73
